City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
83,hirara,24.8,125.2833,23.22,85,89,4.09,JP,1712877372
84,sisimiut,66.9395,-53.6735,-5.27,90,96,1.36,GL,1712877375
85,san matias,-16.3667,-58.4,25.09,94,100,1.56,BO,1712877378
86,okhotsk,59.3833,143.3,-3.1,91,85,1.99,RU,1712877171
87,bethel,41.3712,-73.414,15.68,89,100,2.57,US,1712877278
88,bilibino,68.0546,166.4372,-12.0,81,100,1.41,RU,1712877286
89,yellowknife,62.456,-114.3525,2.01,83,79,6.02,CA,1712877392
90,shizunai-furukawacho,42.3339,142.3669,7.28,82,100,4.28,JP,1712877395
91,rongelap,11.1635,166.8941,26.91,79,100,8.8,MH,1712877398
92,ribeira grande,38.5167,-28.7,15.99,94,97,2.68,PT,1712877402
93,mazamari,-11.3258,-74.5308,25.13,85,84,0.35,PE,1712877405
94,port saint john's,-31.6229,29.5448,15.18,65,8,5.81,ZA,1712877408
95,port elizabeth,-33.918,25.5701,15.05,81,7,1.79,ZA,1712877118
96,ust-nera,64.5667,143.2,-7.09,92,89,2.39,RU,1712877404
97,brookings,44.3114,-96.7984,12.19,53,75,10.29,US,1712877205
98,esmeraldas,-19.7625,-44.3139,25.48,89,24,2.33,BR,1712877421
99,avarua,-21.2078,-159.775,27.03,94,75,5.66,CK,1712877411
100,lethbridge,49.7,-112.8186,12.58,27,96,3.96,CA,1712877249
101,badger,64.8,-147.5333,7.21,43,75,5.14,US,1712877431
102,anadyr,64.75,177.4833,-13.72,77,0,2.68,RU,1712877286
103,aykhal,66.0,111.5,-25.8,99,100,2.6,RU,1712877139
104,imbituba,-28.24,-48.6703,20.79,90,100,4.49,BR,1712877405
105,flying fish cove,-10.4217,105.6791,26.82,83,75,4.12,CX,1712877444
106,port mathurin,-19.6833,63.4167,26.6,77,7,4.83,MU,1712877399
107,happy valley-goose bay,53.3168,-60.3315,3.87,78,67,4.76,CA,1712877313
108,beytussebap,37.5694,43.1681,3.69,84,79,3.55,TR,1712877454
109,torghay,49.6339,63.4981,3.51,63,6,2.56,KZ,1712877458
110,strezhevoy,60.7333,77.5889,-17.8,92,47,3.58,RU,1712877461
111,saipan,15.1355,145.701,30.39,66,0,6.69,MP,1712877464
112,cadale,2.7603,46.3222,29.04,73,41,5.22,SO,1712877467
113,sosnogorsk,63.6023,53.8817,4.19,99,100,7.15,RU,1712877471
114,weno,7.4515,151.8468,28.97,89,100,4.63,FM,1712877346
115,an nuhud,12.7,28.4333,24.44,13,9,5.9,SD,1712877477
116,wanning,18.8003,110.3967,24.26,93,28,1.45,CN,1712877481
117,mana,5.6592,-53.7767,26.09,86,94,4.09,GF,1712877484
118,nishinoomote,30.7333,131.0,18.92,79,100,8.87,JP,1712877487
119,bodo,67.28,14.405,3.21,79,75,4.63,NO,1712877463
120,lihue,21.9789,-159.3672,27.58,80,0,2.06,US,1712877344
121,khandyga,62.6667,135.6,-3.39,88,99,3.46,RU,1712877497
122,mogadishu,2.0371,45.3438,28.99,76,34,4.89,SO,1712877307
123,talnakh,69.4865,88.3972,-29.89,97,95,3.91,RU,1712877284
124,marang,5.2056,103.2059,26.07,82,68,0.89,MY,1712877507
125,al kharj,24.155,47.3346,23.32,41,47,6.12,SA,1712877352
126,klyuchi,52.2667,79.1667,-2.75,71,77,3.47,RU,1712877394
127,lorengau,-2.0226,147.2712,27.38,79,100,1.41,PG,1712877517
128,hawaiian paradise park,19.5933,-154.9731,22.8,97,100,1.54,US,1712877298
129,buka,40.8108,69.1986,16.36,71,100,6.62,UZ,1712877485
130,saynshand,44.8824,110.1163,10.8,31,63,2.48,MN,1712877527
131,bom jesus,-9.0744,-44.3586,27.52,61,80,0.38,BR,1712877530
132,kailua-kona,19.6406,-155.9956,29.77,69,100,2.57,US,1712877362
133,dawesville,30.9224,-84.0091,22.42,59,100,6.69,US,1712877536
134,bodaybo,57.8506,114.1933,-2.95,93,100,1.57,RU,1712877540
135,igarka,67.4667,86.5833,-31.66,100,55,0.89,RU,1712877334
136,diu,20.7141,70.9822,23.84,80,11,3.71,IN,1712877546
137,axim,4.8699,-2.2405,26.97,81,100,1.34,GH,1712877550
138,wailua homesteads,22.0669,-159.378,27.24,84,0,2.06,US,1712877285
139,tofol,5.3248,163.0078,27.88,83,100,4.63,FM,1712877342
140,mossel bay,-34.1831,22.146,15.29,72,0,2.58,ZA,1712877560
141,bom jardim,-7.7958,-35.5872,23.1,95,62,2.19,BR,1712877563
142,mejit,10.2753,170.8646,26.68,79,100,9.24,MH,1712877566
143,jiangyin,31.9282,120.3126,15.12,98,100,2.21,CN,1712877569
144,zara,44.1197,15.2422,16.34,63,0,5.14,HR,1712877573
145,qaqortoq,60.7167,-46.0333,-7.07,89,52,1.21,GL,1712877276
146,pisco,-13.7,-76.2167,23.34,78,0,8.75,PE,1712877423
147,kangding,30.0513,101.9603,8.3,65,74,2.13,CN,1712877583
